"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Publisher","Book title","Proceedings title","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Sub-type","Chapter","School"
"Book Chapter","Micheli A,Podda M","Deep Learning in Cheminformatics","","2022","","","157-195","","World Scientific Publishing","Deep Learning in Biology and Medicine","","2022","9781800610934","","","","","","","6",""
"Book Chapter","Podda M,Bove P,Micheli A,Milazzo P","Classification of Biochemical Pathway Robustness with Neural Networks for Graphs","","2021","","","215-239","","Springer International Publishing","Communications in Computer and Information Science","","2021","9783030723798","1865-0937","http://dx.doi.org/10.1007/978-3-030-72379-8_11","10.1007/978-3-030-72379-8_11","","","","",""
"Journal Article","Podda M,Bacciu D,Micheli A,Bellù R,Placidi G,Gagliardi L","A machine learning approach to estimating preterm infants survival: development of the Preterm Infants Survival Assessment (PISA) predictor","Scientific Reports","2018","8","1","","","Springer Science and Business Media LLC","","","2018","","2045-2322","http://dx.doi.org/10.1038/s41598-018-31920-6","10.1038/s41598-018-31920-6","","","","",""
"Journal Article","Bacciu D,Errica F,Micheli A,Podda M","A gentle introduction to deep learning for graphs","Neural Networks","2020","129","","203-221","","","","","2020","","0893-6080","http://dx.doi.org/10.1016/j.neunet.2020.06.006","10.1016/j.neunet.2020.06.006","The adaptive processing of graph data is a long-standing research topic that has been lately consolidated as a theme of major interest in the deep learning community. The snap increase in the amount and breadth of related research has come at the price of little systematization of knowledge and attention to earlier literature. This work is a tutorial introduction to the field of deep learning for graphs. It favors a consistent and progressive presentation of the main concepts and architectural aspects over an exposition of the most recent literature, for which the reader is referred to available surveys. The paper takes a top-down view of the problem, introducing a generalized formulation of graph representation learning based on a local and iterative approach to structured information processing. Moreover, it introduces the basic building blocks that can be combined to design novel and effective neural models for graphs. We complement the methodological exposition with a discussion of interesting research challenges and applications in the field.","Deep learning for graphs, Graph neural networks, Learning for structured data","","",""
"Journal Article","Bacciu D,Micheli A,Podda M","Edge-based sequential graph generation with recurrent neural networks","Neurocomputing","2020","416","","177-189","","Elsevier BV","","","2020","","0925-2312","http://dx.doi.org/10.1016/j.neucom.2019.11.112","10.1016/j.neucom.2019.11.112","","","","",""
"Journal Article","Milazzo P,Gori R,Micheli A,Nasti L,Podda M","In silico modeling of biochemical pathways","Biomedical Science and Engineering","2021","4","s1","","","PAGEPress Publications","","","2021","","2531-9892","http://dx.doi.org/10.4081/bse.2021.142","10.4081/bse.2021.142","","","","",""
"Journal Article","Fontanesi M,Micheli A,Milazzo P,Podda M","Exploiting the structure of biochemical pathways to investigate dynamical properties with neural networks for graphs","Bioinformatics","2023","39","11","","","","","","2023","","1367-4811","http://dx.doi.org/10.1093/bioinformatics/btad678","10.1093/bioinformatics/btad678","Dynamical properties of biochemical pathways (BPs) help in understanding the functioning of living cells. Their in silico assessment requires simulating a dynamical system with a large number of parameters such as kinetic constants and species concentrations. Such simulations are based on numerical methods that can be time-expensive for large BPs. Moreover, parameters are often unknown and need to be estimated.We developed a framework for the prediction of dynamical properties of BPs directly from the structure of their graph representation. We represent BPs as Petri nets, which can be automatically generated, for instance, from standard SBML representations. The core of the framework is a neural network for graphs that extracts relevant information directly from the Petri net structure and exploits them to learn the association with the desired dynamical property. We show experimentally that the proposed approach reliably predicts a range of diverse dynamical properties (robustness, monotonicity, and sensitivity) while being faster than numerical methods at prediction time. In synergy with the neural network models, we propose a methodology based on Petri nets arc knock-out that allows the role of each molecule in the occurrence of a certain dynamical property to be better elucidated. The methodology also provides insights useful for interpreting the predictions made by the model. The results support the conjecture often considered in the context of systems biology that the BP structure plays a primary role in the assessment of its dynamical properties.https://github.com/marcopodda/petri-bio (code), https://zenodo.org/record/7610382 (data).","","","",""
"Journal Article","Bacciu D,Errica F,Gravina A,Madeddu L,Podda M,Stilo G","Deep Graph Networks for Drug Repurposing with Multi-Protein Targets","IEEE Transactions on Emerging Topics in Computing","2023","","","1-14","","","","","2023","","","http://dx.doi.org/10.1109/TETC.2023.3238963","10.1109/TETC.2023.3238963","","","","",""
"Conference Paper","Bacciu D,Micheli A,Podda M","Graph generation by sequential edge prediction","","2019","","","95-100","","","","Proceedings of the 27th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning (ESANN)","2019","9782875870650","","","","","","","",""
"Conference Paper","Podda M,Bacciu D,Micheli A,Milazzo P","Biochemical Pathway Robustness Prediction with Graph Neural Networks","","2020","","","121-126","","","","Proceedings of the 28th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning (ESANN)","2020","9782875870742","","","","","","","",""
"Conference Paper","Bacciu D,Errica F,Micheli A,Navarin N,Pasa L,Podda M,Zambon D","Graph Representation Learning","","2023","","","1-10","","","","Proceedings of the 31st European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning (ESANN)","2023","9782875870889","","","","","","","",""
"Conference Paper","Bove P,Micheli A,Milazzo P,Podda M","Prediction of Dynamical Properties of Biochemical Pathways with Graph Neural Networks","","2020","","","32-43","","SCITEPRESS - Science and Technology Publications","","Proceedings of the 13th International Joint Conference on Biomedical Engineering Systems and Technologies - Volume 3: BIOINFORMATICS","2020","","","http://dx.doi.org/10.5220/0008964700320043","10.5220/0008964700320043","","","","",""
"Conference Paper","Podda M,Bacciu D,Micheli A","A Deep Generative Model for Fragment-Based Molecule Generation","","2020","","","","","","","Proceedings of the 23rd International Conference on Artificial Intelligence and Statistics (AISTATS)","2020","","","","","","","","",""
"Conference Paper","Errica F,Podda M,Bacciu D,Micheli A","A Fair Comparison of Graph Neural Networks for Graph Classification","","2020","","","","","","","8th International Conference on Learning Representations (ICLR)","2020","","","","","","","","",""
"Conference Paper","Bacciu D,Podda M","GraphGen-Redux: A Fast and Lightweight Recurrent Model for labeled Graph Generation","","2021","","","1-8","IEEE","","","International Joint Conference on Neural Networks (IJCNN)","2021","","","","","","","","",""
"Conference Paper","Ninniri M,Podda M,Bacciu D","Classifier-free graph diffusion for molecular property targeting","","2024","","","","","","","4th workshop on Graphs and more Complex structures for Learning and Reasoning - Colocated with AAAI 2024","2023","","","","","","","","",""
"Ph.D. Thesis","Podda M,Micheli A,Bacciu D","Predicting mortality in low birth weight infants: a machine learning perspective","","2017","","","","","","","","2017","","","","","","","Ph.D. Thesis","","University of Pisa"
"Ph.D. Thesis","Podda M","Deep Learning on Graphs with Applications to the Life Sciences","","2021","","","","","","","","2021","","","","","","","Ph.D. Thesis","","University of Pisa"
"Conference Paper","Bove P,Micheli A,Milazzo P,Podda M","Preliminary Results on Predicting Robustness of Biochemical Pathways through Machine Learning on Graphs","","2019","","","","","","","Pre-proceedings of the 8th International Symposium “From Data to Models and Back (DataMod)”","2019","","","","","","","","",""
"Conference Paper","Podda M,Sirbu A,Priami C,Brozzi A","A rigorous evaluation of embeddings-based vs. feature-based machine learning models for protein antigenicity prediction","","2021","","","","","","","The 10th Italian Workshop on Machine Learning and Data Mining” (MLDM) - Part of the 20th International Conference of the Italian Association for Artificial Intelligence (AIxIA)","2021","","","","","","","","",""
"Journal Article","Podda M,Others","Classification of entire genomes of Neisseria meningitidis with a bag-of-words approach and machine learning","","2023","","","","","","","","2023","","","","","","","","",""
